gene_id	gene_name	gene_type	seqnames	start	end	strand	scr_1	scr_2	Elf3kd_1	Elf3kd_2
1	ENSMUSG00000000001.4	Gnai3	protein_coding	chr3	108107280	108146146	-	10.996732575423	8.91018801769896	12.5809770663623	12.8664956837111
2	ENSMUSG00000000028.15	Cdc45	protein_coding	chr16	18780447	18811987	-	0.955354186894039	1.30144211722741	0.265089057366125	0.293240458881587
3	ENSMUSG00000000031.16	H19	lncRNA	chr7	142575529	142578143	-	0.21643395477099	0.0367062639097567	0.350398723708742	0.359206151691022
4	ENSMUSG00000000049.11	Apoh	protein_coding	chr11	108343354	108414396	+	0.00176971480961612	0.0010804895567141	0.000661177868617013	0.0013217038942039
5	ENSMUSG00000000056.7	Narf	protein_coding	chr11	121237253	121255856	+	4.01328544925924	2.41590396366569	3.09178503602827	3.03221605102719
6	ENSMUSG00000000058.6	Cav2	protein_coding	chr6	17281185	17289115	+	56.3327375149585	47.5177204014377	10.0191828446007	11.0887844969393
7	ENSMUSG00000000078.7	Klf6	protein_coding	chr13	5861482	5870394	+	67.7995877580588	59.4843705764223	68.1854777565982	70.164234984573
8	ENSMUSG00000000085.16	Scmh1	protein_coding	chr4	120405281	120530186	+	0.138737191933105	0.0995568034287618	0.170541844261866	0.14658992970775
9	ENSMUSG00000000088.7	Cox5a	protein_coding	chr9	57521274	57532426	+	2.99504099011491	3.09394570660809	2.89780505038517	3.34262067401875
10	ENSMUSG00000000093.6	Tbx2	protein_coding	chr11	85832551	85841948	+	0.0222986200391522	0.0530957650391126	0.0299913151914163	0.032474575520816
11	ENSMUSG00000000120.6	Ngfr	protein_coding	chr11	95568818	95587735	-	0.0055384081119605	0.00202886660379773	0.00248302575156155	0.00372270265047443
12	ENSMUSG00000000125.5	Wnt3	protein_coding	chr11	103774150	103817957	+	0.00047832568426944	0.0004380586383916	0.00214446997704886	0.000535853220101999
13	ENSMUSG00000000126.11	Wnt9a	protein_coding	chr11	59306928	59333552	+	1.07036726341182	0.508870363170324	0.643951334207323	0.569571920838467
14	ENSMUSG00000000127.15	Fer	protein_coding	chr17	63863062	64139496	+	0.125602494470873	0.15418171147058	0.0807965004907457	0.0776147200412741
15	ENSMUSG00000000131.15	Xpo6	protein_coding	chr7	126101715	126200501	-	1.37599137486975	1.43576566517529	1.05962141153699	1.04460389497686
16	ENSMUSG00000000134.17	Tfe3	protein_coding	chrX	7762560	7775202	+	5.83271417730856	4.71022606372256	5.55282032302263	5.3681131735174
17	ENSMUSG00000000142.15	Axin2	protein_coding	chr11	108920349	108950783	+	0.291238338867213	0.122325910027339	0.138133013528782	0.0856156779734481
18	ENSMUSG00000000148.17	Brat1	protein_coding	chr5	140705011	140719379	+	1.84776828986307	1.63345020365962	1.20141904351973	1.21226326097245
19	ENSMUSG00000000149.10	Gna12	protein_coding	chr5	140758408	140830431	-	1.0784961348553	1.30876873776663	1.72010416950543	1.75543397473116
20	ENSMUSG00000000154.16	Slc22a18	protein_coding	chr7	143473736	143499334	+	0.00736722084761006	0.0104953702167471	0.00917481798232085	0.0137554430109823
21	ENSMUSG00000000159.16	Igsf5	protein_coding	chr16	96361668	96422121	+	0.0381278258744322	0.0269821672311013	0.092073357482033	0.100958955277359
22	ENSMUSG00000000167.14	Pih1d2	protein_coding	chr9	50617321	50625000	+	0.278331729597698	0.339867786039176	0.342544380253709	0.327090904465671
23	ENSMUSG00000000168.9	Dlat	protein_coding	chr9	50634633	50659780	-	4.98123399265244	5.74243494887886	5.50181943087106	5.5420472577735
24	ENSMUSG00000000171.5	Sdhd	protein_coding	chr9	50596357	50603812	-	18.4805683600206	15.8745733653994	8.25386070642517	8.87639838426162
25	ENSMUSG00000000184.12	Ccnd2	protein_coding	chr6	127125162	127152193	-	12.4331848074227	10.7397745562921	27.108774988672	26.9720970590072
26	ENSMUSG00000000194.13	Gpr107	protein_coding	chr2	31152316	31218775	+	1.89112342163208	1.14662616168908	1.96412096837785	1.98575834660667
27	ENSMUSG00000000204.16	Slfn4	protein_coding	chr11	83175186	83190216	+	0.00418243777460906	0.00510712834917387	0.00312517619043844	0.00312363566374029
28	ENSMUSG00000000223.13	Drp2	protein_coding	chrX	134404551	134456573	+	0.0145004897356597	0.0276662298239507	0.00948059821794708	0.00541481419699549
29	ENSMUSG00000000244.17	Tspan32	protein_coding	chr7	143005046	143019644	+	0.0258372543166355	0.0157747922499144	0.0225236187831229	0.0402009213813678
30	ENSMUSG00000000247.11	Lhx2	protein_coding	chr2	38339281	38369733	+	0.0220191916467005	0.0245767554219365	0.0200521534168451	0.0200422688932817
31	ENSMUSG00000000253.13	Gmpr	protein_coding	chr13	45507444	45553800	+	0.0745839198028427	0.0658213721794657	0.0917014309232295	0.0886178995658911
32	ENSMUSG00000000266.11	Mid2	protein_coding	chrX	140664599	140767715	+	0.432630185528287	0.341682220425833	0.505171656578993	0.487849058088723
33	ENSMUSG00000000275.16	Trim25	protein_coding	chr11	88999376	89020293	+	5.60890759627006	3.81929123468579	1.50455785989072	1.53636147802306
34	ENSMUSG00000000276.11	Dgke	protein_coding	chr11	89035179	89066850	-	0.418802386655014	0.958562565417478	0.588050878198286	0.533654379380694
35	ENSMUSG00000000278.10	Scpep1	protein_coding	chr11	88924020	88955465	-	4.63593799286868	3.97287728942139	8.32399796940404	7.71223261301919
36	ENSMUSG00000000282.12	Mnt	protein_coding	chr11	74830920	74845725	+	2.78962243278013	3.64746760205786	3.39475825817292	3.63884566159095
37	ENSMUSG00000000290.13	Itgb2	protein_coding	chr10	77530252	77565708	+	0.0697363933775209	0.105540861364623	0.0410681786555444	0.034427299883699
38	ENSMUSG00000000295.13	Hddc2	protein_coding	chr10	31313383	31328204	+	1.32756348711241	1.6469687760617	1.36911436458196	1.3636879463734
39	ENSMUSG00000000296.8	Tpd52l1	protein_coding	chr10	31332376	31445958	-	0.24038209633376	0.257146668688839	0.386045325543022	0.38626837036073
40	ENSMUSG00000000301.16	Pemt	protein_coding	chr11	59970614	60046489	-	0.0516428399063985	0.0558945329109272	0.0612872278891162	0.079200991569425
41	ENSMUSG00000000303.12	Cdh1	protein_coding	chr8	106603351	106670246	+	3.10794109386878	2.81044578311515	2.7184358757437	2.64340475557204
42	ENSMUSG00000000308.14	Ckmt1	protein_coding	chr2	121357714	121363737	+	0.0556639900402892	0.0669086385874875	0.0506913644238558	0.0740508580851996
43	ENSMUSG00000000325.16	Arvcf	protein_coding	chr16	18348182	18407076	+	0.452567406781788	0.348974891174556	0.312244071937828	0.324047631279515
44	ENSMUSG00000000326.13	Comt	protein_coding	chr16	18406886	18426852	-	3.59238642479509	4.02331391143339	3.72999858532508	3.72580850742378
45	ENSMUSG00000000339.14	Rtca	protein_coding	chr3	116488963	116508208	-	3.05082593550103	3.61165528419119	2.88491517818584	2.87495482383271
46	ENSMUSG00000000340.10	Dbt	protein_coding	chr3	116513070	116549981	+	0.946907266189483	1.05487742278535	1.15802802171395	1.13456242505505
47	ENSMUSG00000000346.9	Dazap2	protein_coding	chr15	100615349	100620761	+	78.8447017441085	51.8187672132876	74.2672309504017	74.8508727972069
48	ENSMUSG00000000355.13	Mcts1	protein_coding	chrX	38600578	38613426	+	2.66491731411839	2.62727826618809	2.7382921239551	2.84108497277614
49	ENSMUSG00000000374.8	Trappc10	protein_coding	chr10	78186725	78244641	-	2.22000527154596	2.14378625897808	2.48539004087035	2.4942977220121
50	ENSMUSG00000000378.15	Ccm2	protein_coding	chr11	6546887	6596744	+	2.42040560626005	1.82597278132392	2.39016461253163	2.24208775148816
51	ENSMUSG00000000384.15	Tbrg4	protein_coding	chr11	6615598	6626067	-	12.1012478855941	13.1465210989525	7.20117432595044	7.06533178555632
52	ENSMUSG00000000385.8	Tmprss2	protein_coding	chr16	97564682	97611195	-	0.0319853576592821	0.0288801503674555	0.00504927634664393	0.00807485976411181
53	ENSMUSG00000000386.16	Mx1	polymorphic_pseudogene	chr16	97447035	97462907	-	0.00264037465357754	0.0060452478490489	0.0118375499350529	0.0088737860432239
54	ENSMUSG00000000399.10	Ndufa9	protein_coding	chr6	126821721	126849136	-	2.61628989084293	2.69213473402123	2.48092593507334	2.71003451290065
55	ENSMUSG00000000416.16	Cttnbp2	protein_coding	chr6	18366478	18514843	-	0.000706164299221224	0.00219883794105317	0.0034825287605917	0.00174040604012463
56	ENSMUSG00000000420.15	Galnt1	protein_coding	chr18	24205344	24286818	+	1.45027469770985	2.09485442303499	1.8278569581723	1.81312627129957
57	ENSMUSG00000000439.9	Mkrn2	protein_coding	chr6	115601902	115622624	+	0.60267309610422	0.920514166749768	0.561018291681147	0.573202670523221
58	ENSMUSG00000000440.12	Pparg	protein_coding	chr6	115360951	115490399	+	0.036906827615571	0.0607805007147931	0.0640446493736029	0.0609302963071719
59	ENSMUSG00000000441.17	Raf1	protein_coding	chr6	115618067	115676635	-	0.5502539335425	0.604521481941989	0.598290244060719	0.600400129345144
60	ENSMUSG00000000486.13	Sept1	protein_coding	chr7	127214447	127233130	-	0.00672933038081401	0.013352804797745	0.0226271253696199	0.0213595286742569
61	ENSMUSG00000000489.7	Pdgfb	protein_coding	chr15	79995874	80014977	-	19.7057450688618	11.500157989326	18.0012357116528	17.4160462383064
62	ENSMUSG00000000530.16	Acvrl1	protein_coding	chr15	101128522	101145336	+	0.00373867252006507	0.02282625760916	0.00698397141404333	0.00837663447591589
63	ENSMUSG00000000531.5	Grasp	protein_coding	chr15	101224188	101232756	+	2.87359542129784	3.02811939913307	2.80413984007718	2.69864731358697
64	ENSMUSG00000000532.11	Acvr1b	protein_coding	chr15	101174067	101213684	+	2.47267617304313	0.899510174209119	3.56284048306487	3.29326223965217
65	ENSMUSG00000000538.18	Tom1l2	protein_coding	chr11	60226714	60352905	-	0.800859062124611	0.891442209298492	0.950475589830788	0.946100629665825
66	ENSMUSG00000000544.14	Gpa33	protein_coding	chr1	166130238	166166510	+	0.00982074948344324	0.00476153266839952	0.0032374419760621	0.00647169221796655
67	ENSMUSG00000000552.10	Zfp385a	protein_coding	chr15	103313895	103340093	-	1.61086276384052	2.14182997455488	1.98567919087663	1.88165723441932
68	ENSMUSG00000000555.8	Itga5	protein_coding	chr15	103344286	103366763	-	9.65896388714906	4.94243499111218	22.6989067322842	21.2872282329113
69	ENSMUSG00000000561.14	Wdr77	protein_coding	chr3	105959369	105970037	+	7.23215942907891	7.94548027634195	6.14221038699796	6.19419323834067
70	ENSMUSG00000000563.17	Atp5f1	protein_coding	chr3	105942698	105960099	-	11.6324215851184	11.1174496027091	8.98478815680775	8.86569334345672
71	ENSMUSG00000000567.5	Sox9	protein_coding	chr11	112782224	112787760	+	1.73733599749155	3.00884215717378	2.37996336324283	2.44663446558992
72	ENSMUSG00000000568.15	Hnrnpd	protein_coding	chr5	99955935	99978938	-	9.00085227714079	10.725830416201	6.1361149162101	6.3749441470792
73	ENSMUSG00000000581.8	C1d	protein_coding	chr11	17257579	17269176	+	6.42695741425066	5.78001133557547	5.73118292414763	6.05627085133403
74	ENSMUSG00000000594.7	Gm2a	protein_coding	chr11	55098115	55113029	+	4.64068028479039	3.66327135550109	3.19200161038023	3.05978900317072
75	ENSMUSG00000000600.15	Krit1	protein_coding	chr5	3803184	3845564	+	1.51493857009025	1.27601505397722	1.34164411163855	1.35261458130642
76	ENSMUSG00000000605.9	Clcn4	protein_coding	chr7	7282309	7300851	-	2.05336220886031	3.52814305564766	7.29067435300993	7.39089226145736
77	ENSMUSG00000000627.15	Sema4f	protein_coding	chr6	82911885	82939769	-	0.0811588520687659	0.139706536319044	0.0993871930280841	0.0698734803858732
78	ENSMUSG00000000628.10	Hk2	protein_coding	chr6	82725025	82774454	-	2.18658682853349	2.60427589574371	2.31915873609133	2.28097287075358
79	ENSMUSG00000000631.20	Myo18a	protein_coding	chr11	77763246	77865980	+	3.43964490296636	3.85747082832365	3.39801264424142	3.27157979814134
80	ENSMUSG00000000690.5	Hoxb6	protein_coding	chr11	96292476	96301569	+	0.0322617602013724	0.0232146027155206	0.0542394897716972	0.0413049546033358
81	ENSMUSG00000000693.10	Loxl3	protein_coding	chr6	83034173	83052562	+	0.0136738353912391	0.0271325740427724	0.00894012145837263	0.0178714290163748
82	ENSMUSG00000000706.16	Btn1a1	protein_coding	chr13	23456992	23465901	-	0.032928071109112	0.0516961313871927	0.0237255911595358	0.0447929143810911
83	ENSMUSG00000000708.14	Kat2b	protein_coding	chr17	53566861	53672720	+	0.46952001653971	0.546012948670653	0.868797150573909	0.952411736799616
84	ENSMUSG00000000711.3	Rab5b	protein_coding	chr10	128677175	128696264	-	3.60155678536573	1.97640569761606	4.34305190010695	4.49585573259774
85	ENSMUSG00000000738.18	Spg7	protein_coding	chr8	123062942	123097760	+	1.87585901840188	1.80282048765811	2.2846246985458	2.1931563819954
86	ENSMUSG00000000740.12	Rpl13	protein_coding	chr8	123102350	123105244	+	36.9482825220416	39.1426313957287	36.4620753029212	35.3734091564371
87	ENSMUSG00000000743.9	Chmp1a	protein_coding	chr8	123204264	123212763	-	9.07785348740014	6.97018912121758	9.31524786078709	9.02617140116614
88	ENSMUSG00000000751.13	Rpa1	protein_coding	chr11	75298166	75348324	-	2.83700913086894	4.80458663955974	1.42343245696161	1.3651663525648
89	ENSMUSG00000000753.15	Serpinf1	protein_coding	chr11	75409769	75422701	-	0.0664332309992612	0.0281944525725638	0.119862058358766	0.107096597492073
90	ENSMUSG00000000759.14	Tubgcp3	protein_coding	chr8	12614277	12672248	-	0.706286624209455	0.860673274693452	0.550974637952719	0.589981124578722
91	ENSMUSG00000000776.13	Polr3d	protein_coding	chr14	70438757	70443447	-	5.81708427559283	6.05979562843557	5.93401991456433	5.69084791658644
92	ENSMUSG00000000782.16	Tcf7	protein_coding	chr11	52252371	52283331	-	0.108289474164296	0.0849171435325211	0.09633991544042	0.108423754775846
93	ENSMUSG00000000787.12	Ddx3x	protein_coding	chrX	13280970	13294052	+	51.2333792875564	78.232910446523	60.9457660959507	65.1702061909836
94	ENSMUSG00000000791.9	Il12rb1	protein_coding	chr8	70808449	70821424	+	0.0177644813686863	0.00591600301256904	0.0850734378685018	0.0542754266196723
95	ENSMUSG00000000792.2	Slc5a5	protein_coding	chr8	70882889	70892757	-	0.0573326264462269	0.0291700974442959	0.0237998571860001	0.0214093127398738
96	ENSMUSG00000000794.9	Kcnn3	protein_coding	chr3	89520164	89675132	+	0.00229865665984883	0.00284814155023281	0.00212172698231912	0.00106034054831357
97	ENSMUSG00000000804.14	Usp32	protein_coding	chr11	84984442	85140161	-	0.986212107161296	0.717351077311909	1.19691564824206	1.18321067872323
98	ENSMUSG00000000811.13	Txnrd3	protein_coding	chr6	89643988	89675529	+	0.300282615939815	0.465437893554292	0.588985383002302	0.602835637124273
99	ENSMUSG00000000817.10	Fasl	protein_coding	chr1	161780689	161788495	-	0.00805304121859776	0.007375109443513	0.0120346907871611	0.0210503271958824
100	ENSMUSG00000000823.16	Zfp512b	protein_coding	chr2	181582103	181592803	-	3.52497419172191	3.04529710681228	2.69317315516774	2.87174072103064
101	ENSMUSG00000000826.16	Dnajc5	protein_coding	chr2	181520485	181555133	+	18.6038835032569	10.7043928087868	19.276330818091	19.5249573508683
102	ENSMUSG00000000827.18	Tpd52l2	protein_coding	chr2	181497142	181517966	+	6.16525351457927	4.63531861809761	6.06540960452446	6.51107033937456
103	ENSMUSG00000000838.17	Fmr1	protein_coding	chrX	68678541	68717963	+	4.92569734653451	4.63759984965355	4.67545447492124	4.8642915814587
104	ENSMUSG00000000869.12	Il4	protein_coding	chr11	53602982	53618669	-	0.106860525279742	0.127224046426351	0.269485933116981	0.22895012864093
105	ENSMUSG00000000876.11	Pxmp4	protein_coding	chr2	154585758	154603708	-	0.449431481980762	0.395560605328563	0.685599237508631	0.639490009156604
106	ENSMUSG00000000884.17	Gnb1l	protein_coding	chr16	18498713	18566679	+	0.0739923370536728	0.151620643742094	0.0528692575388455	0.0476624906246527
107	ENSMUSG00000000901.17	Mmp11	protein_coding	chr10	75923222	75936496	-	1.57857565547622	0.919456238888447	1.32166771177831	1.4801747871695
108	ENSMUSG00000000902.13	Smarcb1	protein_coding	chr10	75896769	75921617	-	2.9413875651465	3.19035872678759	2.72682879186466	2.66596797813544
109	ENSMUSG00000000915.15	Hip1r	protein_coding	chr5	123973628	124005558	+	1.54480886916263	1.27532896292603	1.55345432002061	1.51740018273878
110	ENSMUSG00000000916.15	Nsun5	protein_coding	chr5	135369953	135376805	+	1.65442515596587	2.33573978398502	1.41901334142644	1.40803621531617
111	ENSMUSG00000000934.9	Top1mt	protein_coding	chr15	75657035	75678800	-	0.369691756871302	0.772362529762933	0.59564005914413	0.62338812421405
112	ENSMUSG00000000938.11	Hoxa10	protein_coding	chr6	52231197	52240854	-	0.00650947910866461	0.00596148952221833	0.00972794825355489	0.00486157647571881
