gene_id	gene_name	gene_type	seqnames	start	end	gene_length	strand	scr_1	scr_2	Elf3kd_1	Elf3kd_2
1	ENSMUSG00000000001.4	Gnai3	protein_coding	chr3	108107280	108146146	38866	-	20397	18046	20820	21303
2	ENSMUSG00000000028.15	Cdc45	protein_coding	chr16	18780447	18811987	31540	-	1438	2139	356	394
3	ENSMUSG00000000031.16	H19	lncRNA	chr7	142575529	142578143	2614	-	27	5	39	40
4	ENSMUSG00000000049.11	Apoh	protein_coding	chr11	108343354	108414396	71042	+	6	4	2	4
5	ENSMUSG00000000056.7	Narf	protein_coding	chr11	121237253	121255856	18603	+	3563	2342	2449	2403
6	ENSMUSG00000000058.6	Cav2	protein_coding	chr6	17281185	17289115	7930	+	21319	19636	3383	3746
7	ENSMUSG00000000078.7	Klf6	protein_coding	chr13	5861482	5870394	8912	+	28836	27625	25874	26638
8	ENSMUSG00000000085.16	Scmh1	protein_coding	chr4	120405281	120530186	124905	+	827	648	907	780
9	ENSMUSG00000000088.7	Cox5a	protein_coding	chr9	57521274	57532426	11152	+	1594	1798	1376	1588
10	ENSMUSG00000000093.6	Tbx2	protein_coding	chr11	85832551	85841948	9397	+	10	26	12	13
11	ENSMUSG00000000120.6	Ngfr	protein_coding	chr11	95568818	95587735	18917	-	5	2	2	3
12	ENSMUSG00000000125.5	Wnt3	protein_coding	chr11	103774150	103817957	43807	+	1	1	4	1
13	ENSMUSG00000000126.11	Wnt9a	protein_coding	chr11	59306928	59333552	26624	+	1360	706	730	646
14	ENSMUSG00000000127.15	Fer	protein_coding	chr17	63863062	64139496	276434	+	1657	2221	951	914
15	ENSMUSG00000000131.15	Xpo6	protein_coding	chr7	126101715	126200501	98786	-	6487	7391	4457	4396
16	ENSMUSG00000000134.17	Tfe3	protein_coding	chrX	7762560	7775202	12642	+	3519	3103	2989	2891
17	ENSMUSG00000000142.15	Axin2	protein_coding	chr11	108920349	108950783	30434	+	423	194	179	111
18	ENSMUSG00000000148.17	Brat1	protein_coding	chr5	140705011	140719379	14368	+	1267	1223	735	742
19	ENSMUSG00000000149.10	Gna12	protein_coding	chr5	140758408	140830431	72023	-	3707	4912	5275	5386
20	ENSMUSG00000000154.16	Slc22a18	protein_coding	chr7	143473736	143499334	25598	+	9	14	10	15
21	ENSMUSG00000000159.16	Igsf5	protein_coding	chr16	96361668	96422121	60453	+	110	85	237	260
22	ENSMUSG00000000167.14	Pih1d2	protein_coding	chr9	50617321	50625000	7679	+	102	136	112	107
23	ENSMUSG00000000168.9	Dlat	protein_coding	chr9	50634633	50659780	25147	-	5978	7525	5891	5937
24	ENSMUSG00000000171.5	Sdhd	protein_coding	chr9	50596357	50603812	7455	-	6575	6167	2620	2819
25	ENSMUSG00000000184.12	Ccnd2	protein_coding	chr6	127125162	127152193	27031	-	16039	15128	31201	31059
26	ENSMUSG00000000194.13	Gpr107	protein_coding	chr2	31152316	31218775	66459	+	5998	3971	5558	5622
27	ENSMUSG00000000204.16	Slfn4	protein_coding	chr11	83175186	83190216	15030	+	3	4	2	2
28	ENSMUSG00000000223.13	Drp2	protein_coding	chrX	134404551	134456573	52022	+	36	75	21	12
29	ENSMUSG00000000244.17	Tspan32	protein_coding	chr7	143005046	143019644	14598	+	18	12	14	25
30	ENSMUSG00000000247.11	Lhx2	protein_coding	chr2	38339281	38369733	30452	+	32	39	26	26
31	ENSMUSG00000000253.13	Gmpr	protein_coding	chr13	45507444	45553800	46356	+	165	159	181	175
32	ENSMUSG00000000266.11	Mid2	protein_coding	chrX	140664599	140767715	103116	+	2129	1836	2218	2143
33	ENSMUSG00000000275.16	Trim25	protein_coding	chr11	88999376	89020293	20917	+	5599	4163	1340	1369
34	ENSMUSG00000000276.11	Dgke	protein_coding	chr11	89035179	89066850	31671	-	633	1582	793	720
35	ENSMUSG00000000278.10	Scpep1	protein_coding	chr11	88924020	88955465	31445	-	6957	6510	11145	10331
36	ENSMUSG00000000282.12	Mnt	protein_coding	chr11	74830920	74845725	14805	+	1971	2814	2140	2295
37	ENSMUSG00000000290.13	Itgb2	protein_coding	chr10	77530252	77565708	35456	+	118	195	62	52
38	ENSMUSG00000000295.13	Hddc2	protein_coding	chr10	31313383	31328204	14821	+	939	1272	864	861
39	ENSMUSG00000000296.8	Tpd52l1	protein_coding	chr10	31332376	31445958	113582	-	1303	1522	1867	1869
40	ENSMUSG00000000301.16	Pemt	protein_coding	chr11	59970614	60046489	75875	-	187	221	198	256
41	ENSMUSG00000000303.12	Cdh1	protein_coding	chr8	106603351	106670246	66895	+	9922	9797	7743	7533
42	ENSMUSG00000000308.14	Ckmt1	protein_coding	chr2	121357714	121363737	6023	+	16	21	13	19
43	ENSMUSG00000000325.16	Arvcf	protein_coding	chr16	18348182	18407076	58894	+	1272	1071	783	813
44	ENSMUSG00000000326.13	Comt	protein_coding	chr16	18406886	18426852	19966	-	3423	4186	3171	3169
45	ENSMUSG00000000339.14	Rtca	protein_coding	chr3	116488963	116508208	19245	-	2802	3622	2364	2357
46	ENSMUSG00000000340.10	Dbt	protein_coding	chr3	116513070	116549981	36911	+	1668	2029	1820	1784
47	ENSMUSG00000000346.9	Dazap2	protein_coding	chr15	100615349	100620761	5412	+	20364	14614	17114	17257
48	ENSMUSG00000000355.13	Mcts1	protein_coding	chrX	38600578	38613426	12848	+	1634	1759	1498	1555
49	ENSMUSG00000000374.8	Trappc10	protein_coding	chr10	78186725	78244641	57916	-	6136	6470	6129	6154
50	ENSMUSG00000000378.15	Ccm2	protein_coding	chr11	6546887	6596744	49857	+	5759	4744	5074	4762
51	ENSMUSG00000000384.15	Tbrg4	protein_coding	chr11	6615598	6626067	10469	-	6046	7172	3210	3151
52	ENSMUSG00000000385.8	Tmprss2	protein_coding	chr16	97564682	97611195	46513	-	71	70	10	16
53	ENSMUSG00000000386.16	Mx1	polymorphic_pseudogene	chr16	97447035	97462907	15872	-	2	5	8	6
54	ENSMUSG00000000399.10	Ndufa9	protein_coding	chr6	126821721	126849136	27415	-	3423	3846	2896	3165
55	ENSMUSG00000000416.16	Cttnbp2	protein_coding	chr6	18366478	18514843	148365	-	5	17	22	11
56	ENSMUSG00000000420.15	Galnt1	protein_coding	chr18	24205344	24286818	81474	+	5639	8894	6341	6293
57	ENSMUSG00000000439.9	Mkrn2	protein_coding	chr6	115601902	115622624	20722	+	596	994	495	506
58	ENSMUSG00000000440.12	Pparg	protein_coding	chr6	115360951	115490399	129448	+	228	410	353	336
59	ENSMUSG00000000441.17	Raf1	protein_coding	chr6	115618067	115676635	58568	-	1538	1845	1492	1498
60	ENSMUSG00000000486.13	Sept1	protein_coding	chr7	127214447	127233130	18683	-	6	13	18	17
61	ENSMUSG00000000489.7	Pdgfb	protein_coding	chr15	79995874	80014977	19103	-	17965	11448	14642	14173
62	ENSMUSG00000000530.16	Acvrl1	protein_coding	chr15	101128522	101145336	16814	+	3	20	5	6
63	ENSMUSG00000000531.5	Grasp	protein_coding	chr15	101224188	101232756	8568	+	1175	1352	1023	985
64	ENSMUSG00000000532.11	Acvr1b	protein_coding	chr15	101174067	101213684	39617	+	4675	1857	6010	5558
65	ENSMUSG00000000538.18	Tom1l2	protein_coding	chr11	60226714	60352905	126191	-	4823	5862	5107	5086
66	ENSMUSG00000000544.14	Gpa33	protein_coding	chr1	166130238	166166510	36272	+	17	9	5	10
67	ENSMUSG00000000552.10	Zfp385a	protein_coding	chr15	103313895	103340093	26198	-	2014	2924	2215	2100
68	ENSMUSG00000000555.8	Itga5	protein_coding	chr15	103344286	103366763	22477	-	10361	5789	21724	20383
69	ENSMUSG00000000561.14	Wdr77	protein_coding	chr3	105959369	105970037	10668	+	3682	4417	2790	2815
70	ENSMUSG00000000563.17	Atp5f1	protein_coding	chr3	105942698	105960099	17401	-	9660	10081	6657	6572
71	ENSMUSG00000000567.5	Sox9	protein_coding	chr11	112782224	112787760	5536	+	459	868	561	577
72	ENSMUSG00000000568.15	Hnrnpd	protein_coding	chr5	99955935	99978938	23003	-	9881	12857	6010	6247
73	ENSMUSG00000000581.8	C1d	protein_coding	chr11	17257579	17269176	11597	+	3557	3493	2830	2992
74	ENSMUSG00000000594.7	Gm2a	protein_coding	chr11	55098115	55113029	14914	+	3303	2847	2027	1944
75	ENSMUSG00000000600.15	Krit1	protein_coding	chr5	3803184	3845564	42380	+	3064	2818	2421	2442
76	ENSMUSG00000000605.9	Clcn4	protein_coding	chr7	7282309	7300851	18542	-	1817	3409	5756	5838
77	ENSMUSG00000000627.15	Sema4f	protein_coding	chr6	82911885	82939769	27884	-	108	203	118	83
78	ENSMUSG00000000628.10	Hk2	protein_coding	chr6	82725025	82774454	49429	-	5158	6708	4881	4803
79	ENSMUSG00000000631.20	Myo18a	protein_coding	chr11	77763246	77865980	102734	+	16864	20651	14864	14318
80	ENSMUSG00000000690.5	Hoxb6	protein_coding	chr11	96292476	96301569	9093	+	14	11	21	16
81	ENSMUSG00000000693.10	Loxl3	protein_coding	chr6	83034173	83052562	18389	+	12	26	7	14
82	ENSMUSG00000000706.16	Btn1a1	protein_coding	chr13	23456992	23465901	8909	-	14	24	9	17
83	ENSMUSG00000000708.14	Kat2b	protein_coding	chr17	53566861	53672720	105859	+	2372	3012	3916	4295
84	ENSMUSG00000000711.3	Rab5b	protein_coding	chr10	128677175	128696264	19089	-	3281	1966	3530	3656
85	ENSMUSG00000000738.18	Spg7	protein_coding	chr8	123062942	123097760	34818	+	3117	3271	3387	3253
86	ENSMUSG00000000740.12	Rpl13	protein_coding	chr8	123102350	123105244	2894	+	5103	5903	4493	4361
87	ENSMUSG00000000743.9	Chmp1a	protein_coding	chr8	123204264	123212763	8499	-	3682	3087	3371	3268
88	ENSMUSG00000000751.13	Rpa1	protein_coding	chr11	75298166	75348324	50158	-	6791	12558	3040	2917
89	ENSMUSG00000000753.15	Serpinf1	protein_coding	chr11	75409769	75422701	12932	-	41	19	66	59
90	ENSMUSG00000000759.14	Tubgcp3	protein_coding	chr8	12614277	12672248	57971	-	1954	2600	1360	1457
91	ENSMUSG00000000776.13	Polr3d	protein_coding	chr14	70438757	70443447	4690	-	1302	1481	1185	1137
92	ENSMUSG00000000782.16	Tcf7	protein_coding	chr11	52252371	52283331	30960	-	160	137	127	143
93	ENSMUSG00000000787.12	Ddx3x	protein_coding	chrX	13280970	13294052	13082	+	31986	53332	33948	36319
94	ENSMUSG00000000791.9	Il12rb1	protein_coding	chr8	70808449	70821424	12975	+	11	4	47	30
95	ENSMUSG00000000792.2	Slc5a5	protein_coding	chr8	70882889	70892757	9868	-	27	15	10	9
96	ENSMUSG00000000794.9	Kcnn3	protein_coding	chr3	89520164	89675132	154968	+	17	23	14	7
97	ENSMUSG00000000804.14	Usp32	protein_coding	chr11	84984442	85140161	155719	-	7329	5821	7936	7849
98	ENSMUSG00000000811.13	Txnrd3	protein_coding	chr6	89643988	89675529	31541	+	452	765	791	810
99	ENSMUSG00000000817.10	Fasl	protein_coding	chr1	161780689	161788495	7806	-	3	3	4	7
100	ENSMUSG00000000823.16	Zfp512b	protein_coding	chr2	181582103	181592803	10700	-	1800	1698	1227	1309
101	ENSMUSG00000000826.16	Dnajc5	protein_coding	chr2	181520485	181555133	34648	+	30762	19327	28438	28819
102	ENSMUSG00000000827.18	Tpd52l2	protein_coding	chr2	181497142	181517966	20824	+	6127	5030	5378	5776
103	ENSMUSG00000000838.17	Fmr1	protein_coding	chrX	68678541	68717963	39422	+	9267	9527	7848	8169
